name,district,section,community,area,orientation,layout,rent,unit_rent
整租·燕保祈东家园二期 3室1厅 南/北,朝阳,垡头,燕保祈东家园二期,92.0,南 北,3室1厅1卫,5000.0,54.35
整租·翠成馨园C区 3室2厅 南/北,朝阳,垡头,翠成馨园C区,128.0,南 北,3室2厅2卫,7300.0,57.03
整租·垡头西里二区 2室1厅 东/南,朝阳,垡头,垡头西里二区,57.39,东 南,2室1厅1卫,4500.0,78.41
整租·翠成馨园C区 2室1厅 南/北,朝阳,垡头,翠成馨园C区,88.0,南 北,2室1厅1卫,5500.0,62.5
整租·双合家园C区 2室1厅 南,朝阳,垡头,双合家园C区,86.0,南,2室1厅1卫,4900.0,56.98
整租·燕保祈东家园三期 2室1厅 南,朝阳,垡头,燕保祈东家园三期,81.0,南,2室1厅1卫,4700.0,58.02
整租·垡头西里二区 2室1厅 南/北,朝阳,垡头,垡头西里二区,60.0,南 北,2室1厅1卫,4600.0,76.67
整租·翠成馨园D区 2室1厅 东,朝阳,垡头,翠成馨园D区,79.75,东,2室1厅1卫,4600.0,57.68
整租·金蝉北里21号院 2室1厅 南/北,朝阳,垡头,金蝉北里21号院,60.0,南 北,2室1厅1卫,4300.0,71.67
整租·金蝉里 3室1厅 东南,朝阳,垡头,金蝉里,128.08,东南,3室1厅2卫,7000.0,54.65
整租·金蝉北里 3室1厅 南/北,朝阳,垡头,金蝉北里,96.0,南 北,3室1厅1卫,5900.0,61.46
整租·翠成馨园D区 2室2厅 东/西,朝阳,垡头,翠成馨园D区,96.34,东 西,2室2厅1卫,5600.0,58.13
整租·双合家园C区 2室2厅 南/北,朝阳,垡头,双合家园C区,90.0,南 北,2室2厅1卫,5500.0,61.11
整租·翠成馨园C区 3室1厅 南/北,朝阳,垡头,翠成馨园C区,124.36,南 北,3室1厅2卫,7800.0,62.72
整租·劲松三区 2室1厅 南/北,朝阳,劲松,劲松三区,60.0,南 北,2室1厅1卫,6600.0,110.0
整租·劲松三区 2室1厅 南,朝阳,劲松,劲松三区,49.76,南,2室1厅1卫,5500.0,110.53
整租·和谐雅园 2室1厅 东,朝阳,劲松,和谐雅园,95.0,东,2室1厅1卫,8000.0,84.21
整租·农光东里 1室1厅 东/西,朝阳,劲松,农光东里,45.0,东 西,1室1厅1卫,4100.0,91.11
整租·农光里 1室1厅 南,朝阳,劲松,农光里,48.42,南,1室1厅1卫,5200.0,107.39
整租·劲松南路 2室1厅 东/东南,朝阳,劲松,劲松南路,64.0,东 东南,2室1厅1卫,4900.0,76.56
整租·垂杨柳北里 1室1厅 东南,朝阳,劲松,垂杨柳北里,54.64,东南,1室1厅1卫,5300.0,97.0
整租·农光里 1室1厅 南,朝阳,劲松,农光里,45.88,南,1室1厅1卫,4800.0,104.62
整租·垂杨柳北里 2室1厅 南/北,朝阳,劲松,垂杨柳北里,48.94,南 北,2室1厅1卫,5000.0,102.17
整租·劲松二区 2室1厅 南,朝阳,劲松,劲松二区,52.59,南,2室1厅1卫,5300.0,100.78
整租·农光里 2室1厅 东/南,朝阳,劲松,农光里,80.0,东 南,2室1厅1卫,6000.0,75.0
整租·武圣东里 1室1厅 南,朝阳,劲松,武圣东里,42.12,南,1室1厅1卫,4800.0,113.96
整租·劲松三区 1室1厅 南/北,朝阳,劲松,劲松三区,53.1,南 北,1室1厅1卫,5400.0,101.69
整租·农光东里 2室1厅 南/北,朝阳,劲松,农光东里,38.19,南 北,2室1厅1卫,4500.0,117.83
整租·矿机社区 2室1厅 南/北,房山,城关,矿机社区,54.35,南 北,2室1厅1卫,800.0,14.72
整租·中冶蓝城东区 3室1厅 南/北,房山,城关,中冶蓝城东区,89.36,南 北,3室1厅1卫,2500.0,27.98
整租·前后朱各庄安置房小区 2室1厅 南,房山,城关,前后朱各庄安置房小区,92.0,南,2室1厅1卫,2000.0,21.74
整租·柳林朝晖 2室1厅 南/北,房山,城关,柳林朝晖,79.52,南 北,2室1厅1卫,2200.0,27.67
