name,district,section,community,area,orientation,layout,rent,unit_rent
整租·珑翠北区 4室2厅 东北,番禺,汉溪长隆,珑翠北区,168.0,东北,4室2厅2卫,7500.0,44.64
整租·奥园城市天地 2室1厅 复式 南,番禺,汉溪长隆,奥园城市天地,48.0,南,2室1厅1卫,3400.0,70.83
整租·信基城 4室2厅 南,番禺,汉溪长隆,信基城,156.0,南,4室2厅2卫,5600.0,35.9
整租·锦绣香江山水园 3室2厅 东,番禺,汉溪长隆,锦绣香江山水园,99.0,东,3室2厅1卫,4400.0,44.44
整租·越秀和樾府三期 4室2厅 西南,番禺,汉溪长隆,越秀和樾府三期,130.0,西南,4室2厅2卫,9000.0,69.23
合租·保利大都汇 4居室 西南卧,番禺,汉溪长隆,保利大都汇,30.0,西南,4室2厅4卫,3200.0,106.67
整租·奥园城市天地 2室2厅 南,番禺,汉溪长隆,奥园城市天地,45.57,南,2室2厅1卫,2800.0,61.44
整租·奥园城市天地 1室1厅 南,番禺,汉溪长隆,奥园城市天地,48.0,南,1室1厅1卫,2900.0,60.42
整租·越秀和樾府三期 4室2厅 南/北,番禺,汉溪长隆,越秀和樾府三期,114.0,南 北,4室2厅2卫,7900.0,69.3
整租·锦绣香江花园山水华府 5室2厅 南/北,番禺,汉溪长隆,锦绣香江花园山水华府,380.0,南 北,5室2厅4卫,27000.0,71.05
整租·诺德名都 3室2厅 南,番禺,汉溪长隆,诺德名都,99.17,南,3室2厅2卫,5000.0,50.42
整租·越秀和樾府三期 4室2厅 南,番禺,汉溪长隆,越秀和樾府三期,133.0,南,4室2厅2卫,9000.0,67.67
整租·自在城市花园一二期 3室2厅 西南,番禺,汉溪长隆,自在城市花园一二期,101.0,西南,3室2厅2卫,3800.0,37.62
整租·越秀和樾府三期 4室2厅 东南,番禺,汉溪长隆,越秀和樾府三期,130.0,东南,4室2厅2卫,8500.0,65.38
整租·南国奥园 1室0厅 东/西,番禺,汉溪长隆,南国奥园,12.0,东 西,1室0厅0卫,800.0,66.67
整租·奥园城市天地 1室2厅 西南,番禺,汉溪长隆,奥园城市天地,48.0,西南,1室2厅1卫,3300.0,68.75
整租·越秀和樾府二期 4室2厅 南,番禺,汉溪长隆,越秀和樾府二期,110.0,南,4室2厅2卫,9500.0,86.36
整租·佳丽轩 1室1厅 东南,白云,罗冲围,佳丽轩,30.0,东南,1室1厅1卫,1300.0,43.33
整租·富力桃园 2室1厅 西南,白云,罗冲围,富力桃园,76.0,西南,2室1厅1卫,3600.0,47.37
整租·富力桃园 2室1厅 西北,白云,罗冲围,富力桃园,86.0,西北,2室1厅1卫,4200.0,48.84
整租·富力桃园 2室2厅 西南,白云,罗冲围,富力桃园,76.0,西南,2室2厅1卫,3700.0,48.68
整租·佳丽轩 1室1厅 西北,白云,罗冲围,佳丽轩,50.0,西北,1室1厅1卫,1300.0,26.0
整租·富力桃园 2室1厅 东,白云,罗冲围,富力桃园,83.0,东,2室1厅1卫,4000.0,48.19
整租·圣雅堡 2室2厅 南,白云,罗冲围,圣雅堡,100.0,南,2室2厅1卫,3300.0,33.0
整租·增槎路 1室1厅 南,白云,罗冲围,增槎路,50.0,南,1室1厅1卫,2000.0,40.0
整租·富力桃园 1室0厅 南,白云,罗冲围,富力桃园,13.0,南,1室0厅0卫,1500.0,115.38
整租·富力桃园 2室1厅 西,白云,罗冲围,富力桃园,81.0,西,2室1厅1卫,4500.0,55.56
整租·西城苑 2室1厅 西南,白云,罗冲围,西城苑,47.0,西南,2室1厅1卫,1300.0,27.66
整租·富力桃园 1室0厅 东南,白云,罗冲围,富力桃园,12.72,东南,1室0厅0卫,1200.0,94.34
整租·富力桃园 1室0厅 东,白云,罗冲围,富力桃园,12.72,东,1室0厅0卫,1300.0,102.2
整租·增槎路 1室1厅 东,白云,罗冲围,增槎路,50.15,东,1室1厅1卫,1200.0,23.93
整租·富力桃园 2室1厅 东北,白云,罗冲围,富力桃园,76.0,东北,2室1厅1卫,4000.0,52.63
整租·富力桃园 3室1厅 南,白云,罗冲围,富力桃园,141.0,南,3室1厅2卫,6000.0,42.55
