name,district,section,community,area,orientation,layout,rent,unit_rent
整租·听潮六村 2室2厅 南,浦东,惠南,听潮六村,80.9,南,2室2厅1卫,2000.0,24.72
整租·东方听潮豪园 3室2厅 南,浦东,惠南,东方听潮豪园,130.0,南,3室2厅2卫,3200.0,24.62
整租·海曲雅苑 2室2厅 南,浦东,惠南,海曲雅苑,84.65,南,2室2厅1卫,3500.0,41.35
整租·东城花苑二村 4室2厅 南,浦东,惠南,东城花苑二村,158.79,南,4室2厅2卫,4800.0,30.23
整租·华实佳苑 1室1厅 南,浦东,惠南,华实佳苑,65.0,南,1室1厅1卫,2300.0,35.38
整租·宣桥枫庭 2室2厅 南,浦东,惠南,宣桥枫庭,69.4,南,2室2厅1卫,2800.0,40.35
整租·布鲁斯小镇(二期) 3室2厅 南,浦东,惠南,布鲁斯小镇(二期),128.0,南,3室2厅2卫,3300.0,25.78
整租·东方听潮豪园 2室2厅 南,浦东,惠南,东方听潮豪园,120.39,南,2室2厅1卫,3900.0,32.39
整租·远香舫嘉苑 3室1厅 南,嘉定,嘉定新城,远香舫嘉苑,96.0,南,3室1厅1卫,3900.0,40.62
整租·绿地颐景嘉园 2室2厅 南/北,嘉定,嘉定新城,绿地颐景嘉园,167.68,南 北,2室2厅1卫,3980.0,23.74
整租·盘古天地 4室2厅 南,嘉定,嘉定新城,盘古天地,143.0,南,4室2厅2卫,4800.0,33.57
整租·保利家园北区 3室1厅 南,嘉定,嘉定新城,保利家园北区,89.14,南,3室1厅1卫,3700.0,41.51
整租·盘古天地 1室1厅 南,嘉定,嘉定新城,盘古天地,69.41,南,1室1厅1卫,2250.0,32.42
整租·龙湖郦城(一期) 2室2厅 东南,嘉定,嘉定新城,龙湖郦城(一期),95.56,东南,2室2厅1卫,5000.0,52.32
整租·中信泰富又一城二期 2室2厅 南,嘉定,嘉定新城,中信泰富又一城二期,91.53,南,2室2厅1卫,4900.0,53.53
整租·常发豪庭国际 1室1厅 南,嘉定,嘉定新城,常发豪庭国际,57.0,南,1室1厅1卫,3850.0,67.54
整租·上钢七村 2室1厅 南/北,浦东,世博,上钢七村,53.73,南 北,2室1厅1卫,5000.0,93.06
整租·上南五村 1室1厅 南,浦东,世博,上南五村,29.79,南,1室1厅1卫,4300.0,144.34
整租·济阳二村 1室1厅 南,浦东,世博,济阳二村,43.9,南,1室1厅1卫,4000.0,91.12
整租·上南五村 2室1厅 南,浦东,世博,上南五村,48.67,南,2室1厅1卫,5800.0,119.17
整租·上南四村 1室1厅 南,浦东,世博,上南四村,34.5,南,1室1厅1卫,4600.0,133.33
整租·恒大小区 2室1厅 南,浦东,世博,恒大小区,64.74,南,2室1厅1卫,6200.0,95.77
整租·上南八村 1室0厅 南,浦东,世博,上南八村,35.17,南,1室0厅1卫,3500.0,99.52
整租·东盛公寓 2室2厅 南,浦东,世博,东盛公寓,82.21,南,2室2厅1卫,5700.0,69.33
整租·逸香园 2室2厅 南,嘉定,丰庄,逸香园,94.99,南,2室2厅1卫,7000.0,73.69
整租·嘉美坊 1室1厅 南,嘉定,丰庄,嘉美坊,48.49,南,1室1厅1卫,3700.0,76.3
整租·嘉利坊 2室1厅 南,嘉定,丰庄,嘉利坊,55.21,南,2室1厅1卫,4700.0,85.13
整租·嘉宝都市港湾 2室2厅 南/北,嘉定,丰庄,嘉宝都市港湾,101.43,南 北,2室2厅1卫,7800.0,76.9
整租·丰庄十二街坊 1室1厅 南,嘉定,丰庄,丰庄十二街坊,48.77,南,1室1厅1卫,3700.0,75.87
整租·嘉和坊 2室1厅 南/北,嘉定,丰庄,嘉和坊,77.79,南 北,2室1厅1卫,5000.0,64.28
整租·嘉善坊 2室1厅 南/北,嘉定,丰庄,嘉善坊,61.15,南 北,2室1厅1卫,5200.0,85.04
整租·嘉宝都市港湾 2室2厅 南,嘉定,丰庄,嘉宝都市港湾,105.92,南,2室2厅1卫,8000.0,75.53
整租·潼港四村 2室1厅 南,浦东,外高桥,潼港四村,56.33,南,2室1厅1卫,4200.0,74.56
整租·南新东园 1室1厅 南,浦东,外高桥,南新东园,56.0,南,1室1厅1卫,3600.0,64.29
整租·品臻国际公寓 1室1厅 南,浦东,外高桥,品臻国际公寓,55.18,南,1室1厅1卫,4200.0,76.11
整租·华景苑 3室1厅 南,浦东,外高桥,华景苑,105.42,南,3室1厅2卫,5600.0,53.12
整租·大同路780弄 2室1厅 南,浦东,外高桥,大同路780弄,53.0,南,2室1厅1卫,3600.0,67.92
整租·南新东园 2室0厅 南,浦东,外高桥,南新东园,55.0,南,2室0厅1卫,3800.0,69.09
整租·富特五村 1室1厅 南,浦东,外高桥,富特五村,45.06,南,1室1厅1卫,3500.0,77.67
整租·金纬新苑 3室2厅 南,浦东,外高桥,金纬新苑,158.07,南,3室2厅2卫,7500.0,47.45
整租·华高苑南区 2室2厅 南,浦东,高行,华高苑南区,106.51,南,2室2厅1卫,5500.0,51.64
整租·华高二村 2室2厅 南/北,浦东,高行,华高二村,59.35,南 北,2室2厅1卫,5000.0,84.25
整租·高行绿洲(六期) 2室2厅 南/北,浦东,高行,高行绿洲(六期),74.0,南 北,2室2厅1卫,5800.0,78.38
整租·高行绿洲(六期) 2室1厅 南/北,浦东,高行,高行绿洲(六期),74.05,南 北,2室1厅1卫,5100.0,68.87
整租·浦煤新村 2室1厅 南,浦东,高行,浦煤新村,48.33,南,2室1厅1卫,3600.0,74.49
整租·高弘家苑 2室2厅 南,浦东,高行,高弘家苑,90.0,南,2室2厅1卫,6000.0,66.67
