name,district,section,community,area,orientation,layout,rent,unit_rent
整租·七街公馆 1室1厅 东,福田区,香梅北,七街公馆,43.0,东,1室1厅1卫,4000.0,93.02
整租·七街公馆 1室1厅 东,福田区,香梅北,七街公馆,45.0,东,1室1厅1卫,4800.0,106.67
整租·景尚雅苑 1室1厅 北,福田区,香梅北,景尚雅苑,30.0,北,1室1厅1卫,3700.0,123.33
整租·七街公馆 1室0厅 南,福田区,香梅北,七街公馆,30.0,南,1室0厅1卫,3800.0,126.67
整租·天然居 3室1厅 南,福田区,香梅北,天然居,97.0,南,3室1厅1卫,11000.0,113.4
整租·深房传麒景苑 1室1厅 南,福田区,香梅北,深房传麒景苑,45.0,南,1室1厅1卫,6000.0,133.33
整租·七街公馆 2室1厅 南,福田区,香梅北,七街公馆,59.0,南,2室1厅1卫,7000.0,118.64
整租·深房传麒景苑 1室1厅 南,福田区,香梅北,深房传麒景苑,45.0,南,1室1厅1卫,6600.0,146.67
整租·天然居 3室2厅 南,福田区,香梅北,天然居,111.0,南,3室2厅2卫,12000.0,108.11
整租·天明居 2室2厅 东,福田区,香梅北,天明居,83.0,东,2室2厅1卫,7500.0,90.36
整租·源兴居 1室1厅 东南,罗湖区,洪湖,源兴居,24.0,东南,1室1厅1卫,2300.0,95.83
整租·合正锦湖魅力城 2室2厅 东北,罗湖区,洪湖,合正锦湖魅力城,79.0,东北,2室2厅1卫,6500.0,82.28
整租·源兴居 3室2厅 东南,罗湖区,洪湖,源兴居,93.0,东南,3室2厅2卫,5480.0,58.92
整租·洪湖一街五号大院罗湖区 3室1厅 西南,罗湖区,洪湖,洪湖一街五号大院罗湖区,76.0,西南,3室1厅2卫,4200.0,55.26
整租·合正锦湖魅力城 1室1厅 东北,罗湖区,洪湖,合正锦湖魅力城,39.0,东北,1室1厅1卫,3800.0,97.44
整租·田贝北院小区 1室0厅 南,罗湖区,洪湖,田贝北院小区,25.0,南,1室0厅1卫,2180.0,87.2
整租·田贝花园 1室1厅 东,罗湖区,洪湖,田贝花园,38.0,东,1室1厅1卫,3300.0,86.84
整租·源兴居 4室1厅 西南,罗湖区,洪湖,源兴居,123.06,西南,4室1厅2卫,6800.0,55.26
整租·源兴居 2室2厅 南,罗湖区,洪湖,源兴居,54.0,南,2室2厅1卫,4200.0,77.78
整租·合正锦湖魅力城 2室2厅 西南,罗湖区,洪湖,合正锦湖魅力城,80.27,西南,2室2厅1卫,6800.0,84.71
整租·佳华领域广场 3室2厅 南,龙华区,观澜,佳华领域广场,89.0,南,3室2厅2卫,5400.0,60.67
整租·华盛峰荟名庭 1室0厅 东,龙华区,观澜,华盛峰荟名庭,33.0,东,1室0厅1卫,2100.0,63.64
整租·御景华府 2室2厅 西,龙华区,观澜,御景华府,70.0,西,2室2厅1卫,4500.0,64.29
整租·鹏瑞·颐璟府 3室1厅 东南,龙华区,观澜,鹏瑞·颐璟府,89.0,东南,3室1厅2卫,6200.0,69.66
整租·阳基御龙山 3室2厅 南,龙华区,观澜,阳基御龙山,78.0,南,3室2厅1卫,4000.0,51.28
整租·招商澜园 4室2厅 南,龙华区,观澜,招商澜园,136.0,南,4室2厅2卫,6200.0,45.59
整租·华盛峰荟名庭 4室2厅 东南,龙华区,观澜,华盛峰荟名庭,58.0,东南,4室2厅2卫,4200.0,72.41
整租·格澜郡二期 4室2厅 复式 南,龙华区,观澜,格澜郡二期,124.12,南,4室2厅2卫,7200.0,58.01
