name,district,section,community,area,orientation,layout,rent,unit_rent
整租·王顶堤馨苑 2室1厅 南,西青,海泰高新区,王顶堤馨苑,93.0,南,2室1厅1卫,2600.0,27.96
整租·金融街融汇 2室2厅 南,西青,海泰高新区,金融街融汇,72.0,南,2室2厅1卫,2500.0,34.72
整租·津洲花园 2室1厅 南,西青,海泰高新区,津洲花园,60.0,南,2室1厅1卫,2200.0,36.67
整租·津洲花园 2室1厅 南/西南/西,西青,海泰高新区,津洲花园,100.0,南 西南 西,2室1厅1卫,2700.0,27.0
整租·津洲花园 1室1厅 南,西青,海泰高新区,津洲花园,62.0,南,1室1厅1卫,2200.0,35.48
整租·华远栖塘 3室1厅 南/北,滨海新区,新城镇,华远栖塘,89.0,南 北,3室1厅1卫,1500.0,16.85
整租·紫枫苑 1室1厅 西,滨海新区,新城镇,紫枫苑,45.0,西,1室1厅1卫,800.0,17.78
整租·中建城崇和湾 2室1厅 南,滨海新区,新城镇,中建城崇和湾,86.51,南,2室1厅1卫,1500.0,17.34
整租·中建城 3室2厅 南/北,滨海新区,新城镇,中建城,89.0,南 北,3室2厅1卫,1300.0,14.61
整租·中建城源和湾 3室1厅 南/北,滨海新区,新城镇,中建城源和湾,102.0,南 北,3室1厅1卫,800.0,7.84
整租·中建城澜和湾 3室1厅 南,滨海新区,新城镇,中建城澜和湾,95.0,南,3室1厅1卫,700.0,7.37
整租·中建城澜和湾 2室2厅 南/北,滨海新区,新城镇,中建城澜和湾,83.0,南 北,2室2厅1卫,900.0,10.84
整租·中建城源和湾 3室1厅 南/北,滨海新区,新城镇,中建城源和湾,90.0,南 北,3室1厅1卫,600.0,6.67
整租·中建城澜和湾 3室2厅 南/北,滨海新区,新城镇,中建城澜和湾,105.64,南 北,3室2厅1卫,950.0,8.99
整租·旭辉景瑞·塘沽湾陆号 3室1厅 南,滨海新区,新城镇,旭辉景瑞·塘沽湾陆号,91.0,南,3室1厅1卫,1000.0,10.99
整租·中建城澜和湾 3室2厅 南/北,滨海新区,新城镇,中建城澜和湾,105.0,南 北,3室2厅1卫,1200.0,11.43
整租·中建城 2室1厅 南/北,滨海新区,新城镇,中建城,83.0,南 北,2室1厅1卫,1215.0,14.64
整租·华发未来荟 2室2厅 南,滨海新区,新城镇,华发未来荟,78.28,南,2室2厅1卫,650.0,8.3
整租·旭辉景瑞·塘沽湾陆号 3室2厅 南/北,滨海新区,新城镇,旭辉景瑞·塘沽湾陆号,100.0,南 北,3室2厅2卫,1440.0,14.4
整租·中建城 3室2厅 南/北,滨海新区,新城镇,中建城,89.0,南 北,3室2厅2卫,800.0,8.99
整租·华远栖塘 3室1厅 南/北,滨海新区,新城镇,华远栖塘,89.0,南 北,3室1厅1卫,1300.0,14.61
整租·华远栖塘 3室2厅 南,滨海新区,新城镇,华远栖塘,128.0,南,3室2厅2卫,1000.0,7.81
整租·中建·璟秀 3室2厅 南/北,滨海新区,新城镇,中建·璟秀,89.26,南 北,3室2厅2卫,600.0,6.72
整租·中建城源和湾 3室1厅 南/北,滨海新区,新城镇,中建城源和湾,89.0,南 北,3室1厅1卫,1400.0,15.73
整租·宝德云湾 3室2厅 南/北,滨海新区,新城镇,宝德云湾,114.33,南 北,3室2厅2卫,1000.0,8.75
整租·梁锦东苑 2室1厅 南,滨海新区,新城镇,梁锦东苑,90.0,南,2室1厅1卫,800.0,8.89
整租·旭辉景瑞·塘沽湾陆号 3室2厅 南/北,滨海新区,新城镇,旭辉景瑞·塘沽湾陆号,93.0,南 北,3室2厅1卫,900.0,9.68
整租·宝德云湾 1室1厅 东南,滨海新区,新城镇,宝德云湾,113.0,东南,1室1厅1卫,4000.0,35.4
整租·中建城澜和湾 3室2厅 南/北,滨海新区,新城镇,中建城澜和湾,105.0,南 北,3室2厅1卫,1000.0,9.52
整租·中建城澜和湾 3室2厅 南,滨海新区,新城镇,中建城澜和湾,105.07,南,3室2厅1卫,850.0,8.09
整租·中建城源和湾 2室2厅 南/北,滨海新区,新城镇,中建城源和湾,86.58,南 北,2室2厅1卫,1600.0,18.48
整租·宝德云湾 2室1厅 南/北,滨海新区,新城镇,宝德云湾,85.0,南 北,2室1厅1卫,1000.0,11.76
整租·中建城崇和湾 4室2厅 南/北,滨海新区,新城镇,中建城崇和湾,130.0,南 北,4室2厅1卫,1000.0,7.69
整租·中建城崇和湾 2室1厅 南/北,滨海新区,新城镇,中建城崇和湾,98.0,南 北,2室1厅1卫,1500.0,15.31
整租·景瑞悦府 3室1厅 南/北,宝坻,海滨,景瑞悦府,110.0,南 北,3室1厅1卫,1400.0,12.73
整租·阳光城博智园 2室2厅 南/北,宝坻,海滨,阳光城博智园,86.82,南 北,2室2厅1卫,1100.0,12.67
整租·天锦园小区 2室2厅 南/北,宝坻,海滨,天锦园小区,85.0,南 北,2室2厅1卫,1000.0,11.76
整租·天泰园 2室1厅 南,宝坻,海滨,天泰园,87.0,南,2室1厅1卫,700.0,8.05
整租·天秀园A区 1室1厅 南/北,宝坻,海滨,天秀园A区,55.0,南 北,1室1厅1卫,1000.0,18.18
